f,r,x
15.768600,703.68,-5838.06
15.793550,690.48,-5783.75
15.818500,681.88,-5747.99
15.843450,673.09,-5711.50
15.868400,665.11,-5677.84
15.893350,654.77,-5633.79
15.918300,645.40,-5593.53
15.943250,636.80,-5556.55
15.968200,626.17,-5510.57
15.993150,620.47,-5485.56
16.018100,610.71,-5442.63
16.043050,602.86,-5407.68
16.068000,594.14,-5368.78
16.092950,587.42,-5338.48
16.117900,579.07,-5300.43
16.142850,570.60,-5261.83
16.167800,563.53,-5229.15
16.192750,556.49,-5196.43
16.217700,547.94,-5156.71
16.242650,541.09,-5124.31
16.267600,533.99,-5090.57
16.292550,527.31,-5058.81
16.317500,520.59,-5026.46
16.342450,512.86,-4989.21
16.367400,506.39,-4957.84
16.392350,500.86,-4930.43
16.417300,494.05,-4897.07
16.442250,487.76,-4865.58
16.467200,480.71,-4830.67
16.492150,474.11,-4797.36
16.517100,469.44,-4773.54
16.542050,461.51,-4733.21
16.567000,457.62,-4713.16
16.591950,452.27,-4685.78
16.616900,447.18,-4659.15
16.641850,440.72,-4625.33
16.666800,435.97,-4600.40
16.691750,430.45,-4571.11
16.716700,424.15,-4537.47
16.741650,419.43,-4512.25
16.766600,414.34,-4484.76
16.791550,409.12,-4456.47
16.816500,404.11,-4429.11
16.841450,398.73,-4399.56
16.866400,394.86,-4377.79
16.891350,389.68,-4349.18
16.916300,385.66,-4326.67
16.941250,379.91,-4294.33
16.966200,376.32,-4273.82
16.991150,371.86,-4248.42
17.016100,366.63,-4218.22
17.041050,362.19,-4192.70
17.066000,358.23,-4169.41
17.090950,353.59,-4142.36
17.115900,349.44,-4118.18
17.140850,344.98,-4091.21
17.165800,342.46,-4076.34
17.190750,337.52,-4046.80
17.215700,333.30,-4021.17
17.240650,328.98,-3995.03
17.265600,325.81,-3975.45
17.290550,321.85,-3951.29
17.315500,317.18,-3922.27
17.340450,314.27,-3904.11
17.365400,310.22,-3878.73
17.390350,306.90,-3857.72
17.415300,303.35,-3835.16
17.440250,299.25,-3808.89
17.465200,295.94,-3787.67
17.490150,292.31,-3764.07
17.515100,288.73,-3740.76
17.540050,285.73,-3721.25
17.565000,281.98,-3696.49
17.589950,278.16,-3671.30
17.614900,275.90,-3656.23
17.639850,272.04,-3630.37
17.664800,268.82,-3608.69
17.689750,266.22,-3590.99
17.714700,262.30,-3564.32
17.739650,259.67,-3546.08
17.764600,256.81,-3526.39
17.789550,253.50,-3503.42
17.814500,250.70,-3483.94
17.839450,248.03,-3465.08
17.864400,244.57,-3440.54
17.889350,241.75,-3420.46
