f,r,x
10.055050,69.62,-1804.13
10.080000,68.88,-1794.01
10.104950,68.31,-1786.19
10.129900,67.65,-1777.05
10.154850,67.06,-1768.95
10.179800,66.64,-1763.54
10.204750,66.29,-1758.74
10.229700,65.72,-1750.79
10.254650,65.15,-1742.72
10.279600,64.42,-1732.25
10.304550,63.86,-1724.20
10.329500,63.19,-1714.61
10.354450,62.55,-1705.21
10.379400,61.96,-1696.70
10.404350,61.38,-1688.23
10.429300,60.80,-1679.63
10.454250,60.19,-1670.66
10.479200,59.63,-1662.42
10.504150,59.05,-1653.70
10.529100,58.50,-1645.51
10.554050,57.99,-1637.72
10.579000,57.56,-1631.26
10.603950,57.06,-1623.79
10.628900,56.59,-1616.59
10.653850,56.16,-1609.96
10.678800,55.64,-1602.07
10.703750,55.15,-1594.34
10.728700,54.62,-1586.11
10.753650,54.15,-1578.84
10.778600,53.59,-1569.97
10.803550,53.07,-1561.71
10.828500,52.56,-1553.64
10.853450,51.99,-1544.52
10.878400,51.50,-1536.55
10.903350,50.95,-1527.63
10.928300,50.43,-1519.32
10.953250,49.92,-1510.84
10.978200,49.37,-1501.77
11.003150,48.86,-1493.44
11.028100,48.36,-1485.02
11.053050,47.85,-1476.52
11.078000,47.31,-1467.35
11.102950,46.82,-1459.10
11.127900,46.35,-1451.14
11.152850,45.83,-1442.30
11.177800,45.39,-1434.61
11.202750,44.92,-1426.57
11.227700,44.42,-1417.79
11.252650,43.94,-1409.42
11.277600,43.46,-1401.03
11.302550,43.00,-1392.86
11.327500,42.54,-1384.62
11.352450,42.08,-1376.29
11.377400,41.64,-1368.44
11.402350,41.17,-1359.82
11.427300,40.76,-1352.31
11.452250,40.29,-1343.79
11.477200,39.84,-1335.42
11.502150,39.39,-1327.07
11.527100,38.97,-1319.14
11.552050,38.55,-1311.30
11.577000,38.12,-1303.15
11.601950,37.67,-1294.59
11.626900,37.28,-1287.18
11.651850,36.87,-1279.16
11.676800,36.45,-1271.04
11.701750,36.03,-1262.82
11.726700,35.63,-1255.02
11.751650,35.20,-1246.53
11.776600,34.82,-1238.80
11.801550,34.43,-1231.03
11.826500,34.02,-1222.78
11.851450,33.62,-1214.77
11.876400,33.24,-1206.80
11.901350,32.88,-1199.47
11.926300,32.47,-1190.96
11.951250,32.08,-1182.91
11.976200,31.71,-1175.01
12.001150,31.34,-1167.34
12.026100,30.98,-1159.47
12.051050,30.61,-1151.40
12.076000,30.25,-1143.66
12.100950,29.87,-1135.35
12.125900,29.51,-1127.50
12.150850,29.16,-1119.82
12.175800,28.81,-1112.00
12.200750,28.48,-1104.42
12.225700,28.10,-1095.79
12.250650,27.77,-1088.36
12.275600,27.42,-1080.38
12.300550,27.08,-1072.39
12.325500,26.75,-1064.73
12.350450,26.41,-1056.87
12.375400,26.08,-1049.01
12.400350,25.77,-1041.56
12.425300,25.43,-1033.33
12.450250,25.11,-1025.65
12.475200,24.77,-1017.41
12.500150,24.46,-1009.79
12.525100,24.14,-1001.89
12.550050,23.84,-994.34
12.575000,23.53,-986.38
12.599950,23.21,-978.46
12.624900,22.91,-970.67
12.649850,22.62,-963.12
12.674800,22.31,-955.06
12.699750,22.02,-947.50
12.724700,21.72,-939.72
12.749650,21.43,-932.05
12.774600,21.13,-924.00
12.799550,20.86,-916.46
12.824500,20.56,-908.43
12.849450,20.28,-900.78
12.874400,20.00,-892.84
12.899350,19.73,-885.25
12.924300,19.46,-877.60
12.949250,19.18,-869.61
12.974200,18.91,-861.85
12.999150,18.65,-854.23
13.024100,18.38,-846.41
13.049050,18.12,-838.58
13.074000,17.85,-830.65
13.098950,17.60,-822.93
13.123900,17.34,-815.04
13.148850,17.09,-807.40
13.173800,16.84,-799.53
13.198750,16.59,-791.76
13.223700,16.35,-783.94
13.248650,16.11,-776.34
13.273600,15.86,-768.32
13.298550,15.63,-760.61
13.323500,15.39,-752.76
13.348450,15.16,-744.91
13.373400,14.92,-737.08
13.398350,14.70,-729.41
13.423300,14.47,-721.56
13.448250,14.25,-713.71
13.473200,14.03,-705.96
13.498150,13.81,-698.09
13.523100,13.59,-690.32
13.548050,13.38,-682.53
13.573000,13.16,-674.56
13.597950,12.98,-666.98
13.622900,12.79,-659.04
13.647850,12.60,-651.09
13.672800,12.42,-643.42
13.697750,12.23,-635.42
13.722700,12.06,-627.62
13.747650,11.89,-619.89
13.772600,11.71,-611.93
13.797550,11.54,-604.15
13.822500,11.36,-596.36
13.847450,11.21,-588.50
13.872400,11.03,-580.60
13.897350,10.87,-572.86
13.922300,10.72,-564.87
13.947250,10.56,-556.98
13.972200,10.40,-548.96
13.997150,10.25,-541.13
14.022100,10.09,-533.24
14.047050,9.95,-525.28
14.072000,9.80,-517.34
14.096950,9.65,-509.38
14.121900,9.52,-501.46
14.146850,9.37,-493.53
14.171800,9.23,-485.43
14.196750,9.10,-477.40
14.221700,8.97,-469.55
14.246650,8.84,-461.44
14.271600,8.70,-453.35
14.296550,8.58,-445.32
14.321500,8.47,-437.21
14.346450,8.34,-429.09
14.371400,8.22,-421.08
14.396350,8.11,-412.98
14.421300,7.99,-404.82
14.446250,7.89,-396.73
14.471200,7.78,-388.60
14.496150,7.67,-380.39
14.521100,7.57,-372.19
14.546050,7.47,-364.06
14.571000,7.38,-355.85
14.595950,7.43,-347.62
14.620900,7.68,-339.44
14.645850,7.88,-330.99
14.670800,8.17,-322.84
14.695750,8.32,-314.55
14.720700,8.50,-306.24
14.745650,8.64,-297.96
14.770600,8.79,-289.67
14.795550,9.01,-281.27
14.820500,9.17,-272.89
14.845450,9.37,-264.57
14.870400,9.57,-256.01
14.895350,9.70,-247.68
14.920300,9.83,-239.16
14.945250,10.06,-230.69
14.970200,10.16,-222.30
14.995150,10.31,-213.80
15.020100,10.53,-205.16
15.045050,10.64,-196.67
15.070000,10.79,-188.04
15.094950,10.90,-179.52
15.119900,11.06,-170.87
15.144850,11.16,-162.23
15.169800,11.31,-153.53
15.194750,11.45,-144.87
15.219700,11.55,-136.16
15.244650,11.67,-127.39
15.269600,11.78,-118.61
15.294550,11.93,-109.77
15.319500,12.07,-100.95
15.344450,12.16,-92.07
15.369400,12.23,-83.15
15.394350,12.30,-74.24
15.419300,12.44,-65.31
15.444250,12.50,-56.36
15.469200,12.60,-47.39
15.494150,12.66,-38.35
15.519100,12.72,-29.32
15.544050,12.85,-20.24
15.569000,12.88,-11.17
15.593950,12.91,-2.01
15.618900,12.99,7.11
15.643850,13.04,16.26
15.668800,13.10,25.49
15.693750,13.14,34.72
15.718700,13.21,44.00
15.743650,13.25,53.30
15.768600,13.33,62.67
15.793550,13.36,72.05
15.818500,13.41,81.46
15.843450,13.47,90.89
15.868400,13.53,100.34
15.893350,13.54,109.85
15.918300,13.60,119.34
15.943250,13.73,128.93
15.968200,13.72,138.49
15.993150,13.78,148.17
16.018100,13.82,157.88
16.043050,13.92,167.56
16.068000,13.95,177.30
16.092950,14.01,187.16
16.117900,14.14,196.99
16.142850,14.15,206.83
16.167800,14.25,216.79
16.192750,14.31,226.75
16.217700,14.39,236.83
16.242650,14.43,246.90
16.267600,14.49,257.03
16.292550,14.55,267.20
16.317500,14.58,277.44
16.342450,14.71,287.71
16.367400,14.79,298.08
16.392350,14.80,308.45
16.417300,14.90,318.92
16.442250,14.95,329.43
16.467200,15.03,340.04
16.492150,15.03,350.64
16.517100,15.15,361.34
16.542050,15.19,372.07
16.567000,15.30,382.93
16.591950,15.35,393.87
16.616900,15.47,404.75
16.641850,15.46,415.73
16.666800,15.45,426.78
16.691750,15.56,437.96
16.716700,15.65,449.16
16.741650,15.70,460.51
16.766600,15.82,471.92
16.791550,15.77,483.29
16.816500,15.94,494.78
16.841450,15.99,506.37
16.866400,16.04,518.09
16.891350,16.10,529.83
16.916300,16.15,541.69
16.941250,16.21,553.55
16.966200,16.28,565.55
16.991150,16.32,577.76
17.016100,16.31,589.93
17.041050,16.40,602.09
17.066000,16.42,614.38
17.090950,16.46,626.82
17.115900,16.49,639.43
17.140850,16.51,651.97
17.165800,16.51,664.67
17.190750,16.75,677.44
17.215700,16.74,690.40
17.240650,16.89,703.28
17.265600,16.99,716.50
17.290550,16.87,729.78
17.315500,17.04,743.28
17.340450,17.34,756.45
17.365400,17.78,770.21
17.390350,18.22,783.87
17.415300,18.65,797.66
17.440250,19.08,811.63
17.465200,19.59,825.92
17.490150,20.06,840.09
17.515100,20.56,854.39
17.540050,21.05,868.79
17.565000,21.56,883.86
17.589950,22.12,898.40
17.614900,22.69,913.50
17.639850,23.28,928.67
17.664800,23.81,943.70
17.689750,24.43,958.96
17.714700,25.07,974.86
17.739650,25.68,990.46
17.764600,26.32,1006.23
17.789550,27.01,1022.83
17.814500,27.73,1039.31
17.839450,28.40,1055.62
17.864400,29.13,1072.18
17.889350,29.87,1089.02
17.914300,30.65,1105.94
17.939250,31.45,1123.15
17.964200,32.28,1141.02
17.989150,33.07,1158.37
18.014100,33.92,1176.44
18.039050,34.83,1194.59
18.064000,35.76,1212.83
