f,r,x
14.321500,2053.61,-9277.97
14.346450,2035.13,-9226.14
14.371400,1951.24,-9095.14
14.396350,1937.84,-9025.71
14.421300,1901.91,-8962.43
14.446250,1847.35,-8872.55
14.471200,1827.45,-8781.76
14.496150,1780.66,-8704.54
14.521100,1740.41,-8624.11
14.546050,1707.85,-8547.49
14.571000,1681.70,-8486.67
14.595950,1640.61,-8382.94
14.620900,1613.07,-8311.67
14.645850,1586.53,-8243.79
14.670800,1561.62,-8183.09
14.695750,1525.44,-8099.55
14.720700,1497.87,-8021.29
14.745650,1468.98,-7944.03
14.770600,1447.58,-7895.64
14.795550,1414.99,-7808.66
14.820500,1394.29,-7753.92
14.845450,1371.51,-7688.30
14.870400,1349.73,-7637.80
14.895350,1324.18,-7560.32
14.920300,1303.80,-7503.24
14.945250,1276.61,-7435.26
14.970200,1256.42,-7369.88
14.995150,1236.06,-7313.89
15.020100,1215.73,-7258.09
15.045050,1192.91,-7192.47
15.070000,1169.07,-7124.52
15.094950,1158.74,-7091.56
15.119900,1137.95,-7028.77
15.144850,1120.01,-6973.69
15.169800,1102.51,-6919.74
15.194750,1084.65,-6866.14
15.219700,1070.12,-6816.56
15.244650,1055.68,-6773.34
15.269600,1030.24,-6697.92
15.294550,1016.37,-6655.79
15.319500,1001.74,-6608.73
15.344450,985.01,-6550.17
15.369400,972.03,-6510.13
15.394350,956.10,-6457.70
15.419300,938.82,-6398.98
15.444250,928.96,-6367.12
15.469200,913.49,-6315.36
15.494150,900.11,-6272.51
15.519100,886.30,-6225.89
15.544050,874.19,-6181.51
15.569000,858.84,-6128.33
15.593950,848.49,-6094.16
15.618900,835.92,-6048.53
15.643850,824.51,-6007.19
15.668800,813.40,-5966.77
15.693750,801.23,-5925.26
15.718700,788.84,-5878.99
15.743650,779.07,-5842.43
15.768600,768.76,-5802.20
15.793550,757.52,-5757.78
15.818500,749.17,-5728.62
15.843450,735.52,-5681.39
15.868400,727.93,-5647.88
15.893350,715.72,-5600.66
15.918300,707.41,-5568.05
15.943250,699.03,-5538.30
15.968200,688.64,-5496.75
15.993150,678.67,-5453.12
16.018100,669.70,-5420.85
16.043050,661.77,-5387.70
16.068000,650.09,-5340.19
16.092950,642.65,-5308.43
16.117900,635.19,-5280.05
16.142850,625.62,-5239.17
16.167800,619.29,-5208.50
16.192750,610.13,-5172.18
16.217700,603.42,-5146.19
16.242650,594.41,-5102.92
16.267600,587.21,-5073.72
16.292550,580.60,-5042.76
16.317500,572.46,-5006.11
16.342450,566.87,-4981.02
16.367400,557.81,-4944.54
16.392350,550.35,-4909.38
16.417300,543.51,-4880.66
16.442250,537.95,-4849.68
16.467200,532.57,-4823.60
16.492150,523.65,-4788.08
16.517100,518.85,-4763.23
16.542050,510.91,-4725.96
16.567000,505.51,-4702.20
16.591950,500.43,-4675.95
16.616900,494.44,-4647.28
16.641850,488.25,-4619.02
16.666800,481.79,-4588.66
16.691750,476.41,-4561.00
16.716700,471.18,-4536.31
16.741650,465.21,-4508.33
16.766600,460.06,-4481.75
16.791550,455.92,-4451.92
16.816500,448.45,-4421.24
16.841450,444.67,-4393.81
16.866400,443.22,-4369.25
16.891350,437.69,-4343.61
16.916300,428.63,-4319.54
16.941250,430.13,-4290.14
16.966200,428.33,-4263.08
16.991150,422.89,-4240.45
17.016100,419.57,-4214.60
17.041050,418.14,-4187.20
17.066000,411.58,-4165.05
17.090950,407.24,-4136.02
17.115900,407.45,-4113.05
17.140850,399.86,-4091.83
17.165800,394.09,-4067.86
17.190750,395.23,-4041.41
17.215700,389.67,-4018.03
17.240650,388.53,-3994.56
17.265600,379.92,-3968.32
17.290550,380.29,-3944.68
17.315500,375.81,-3921.66
